Geo_FIPS,Borough,HospitalDist,NursingHomeDist,PharmDist,SoupKitchDist,SubwayDist,parkRecDist,flagshipParkDist,meanSidewalkWidth,deaths,cases,DeathDensity,CaseDensity,SVI,UHVI,GorceryDist
36081020200,QN,4855.933466,4516.078294,1484.547388,4251.533873,3865.226594,146.793599,9727.843105,8.72125,4.590006952,56.88628877,0.002656254,0.032920306,74.46,54.36363636,1195.836836
36047029100,BK,4107.054607,2832.475509,1723.058898,1284.924647,1716.843204,200.0070232,11061.88204,12.83918919,5.164248942,56.94631265,0.001764349,0.019455522,62.45,59.72727273,1838.431466
36081126500,QN,1284.331359,829.2934285,666.5456305,5578.482211,4610.672675,1669.238236,6282.400838,9.118584071,6.905367775,56.96723262,0.004031155,0.033255828,59.61,43.36363636,1298.884321
36081046400,QN,2110.22841,2239.104779,1665.419548,3345.751899,1757.989676,2415.874709,4362.668011,7.897087379,6.910838578,57.00102517,0.004031995,0.033256141,70.54,33.18181818,1731.724113
36061024000,MN,6894.370844,6578.621091,3290.25379,4321.081168,4494.717898,0,0,14.40114548,6.804984836,57.00407587,0.003654664,0.030614434,,71.18181818,2387.130729
36061002601,MN,3616.897489,2495.886572,362.5894526,1248.481587,2593.917158,836.0397551,15364.33213,11.21896552,4.463443627,57.06831494,0.001214542,0.015528793,82.51,31.63636364,770.17195
36081047600,QN,5986.306705,2245.711867,2345.008173,5172.291419,4159.325639,1053.489878,1053.489878,6.933333333,5.087140032,57.08999332,0.003462995,0.038863168,36.76,46.09090909,2732.595217
36047021900,BK,5485.77111,1672.792974,525.0204961,978.6445319,902.7536797,1771.785767,3305.429138,11.97460317,4.782945688,57.090866,0.001340512,0.016000803,69.36,34.90909091,1802.080561
36047094600,BK,4824.766576,4842.161674,2411.697347,2858.744973,5989.760153,137.5887604,11479.51817,9.904,5.931872713,57.13719624,0.003208152,0.030901675,64.75,66.09090909,1593.80177
36081066701,QN,7145.220792,1603.080038,1911.540667,8409.807975,3803.03277,1386.524761,9328.481909,6.632142857,4.969628806,57.16280158,0.001970511,0.022665663,39.9,63.81818182,1882.249172
36047029200,BK,10458.85285,976.2844238,751.4778382,8590.214821,2236.639998,0,20986.60127,13.82669492,5.740078488,57.21759088,0.00205959,0.020530173,79.81,58.63636364,549.1175744
36047031702,BK,4462.06083,1780.032191,50.10626908,1970.994638,458.7770563,1790.137548,4374.589216,13.69558824,4.714174282,57.24480275,0.001313506,0.01595007,45.75,36.72727273,1372.582645
36081029700,QN,6861.723795,3515.269338,1319.546669,6600.969863,2287.313303,561.2138985,12389.33331,9.915873016,4.394647316,57.44395546,0.002327673,0.030425824,53.86,36.81818182,1291.104559
36047016100,BK,4112.034565,1840.126392,709.4392954,2474.857472,617.2070113,235.0855138,2892.471858,11.89908257,6.90057057,57.45409255,0.002133098,0.017760152,30.12,21.45454545,1422.618212
36081099701,QN,11667.4954,4288.379257,3026.499708,21135.91627,13574.93439,1893.024023,10581.37285,6.609456265,4.885325086,57.51278235,0.001620878,0.019081879,23.88,55.90909091,4740.720953
36047057500,BK,6567.357839,10093.90145,520.5128583,7552.816847,459.3500669,1646.106703,12997.43757,9.533009709,3.368213544,57.55682556,0.000909836,0.015547495,27.39,29.54545455,468.5098887
36047045800,BK,7122.997894,1976.17649,1099.695712,1170.727249,1976.994108,1624.865483,9363.850688,12.38,4.188220214,57.70639069,0.002777334,0.038266837,44.15,58.63636364,1964.956981
36061026700,MN,4992.705613,1506.536245,1008.911184,5145.81939,1406.052386,221.1241788,9135.173852,14.87027027,4.383152229,57.91509339,0.002131883,0.02816882,78.05,16.54545455,1173.192963
36047016700,BK,1290.770244,6255.683575,1389.851855,5234.755047,819.204572,446.366138,446.366138,12.18588235,3.600384344,57.9192264,0.000650946,0.010471746,16.31,25.45454545,1145.674952
36081070300,QN,5106.398725,2254.276073,2046.09027,6424.235111,4138.437942,1459.552177,3719.609909,8.830693069,4.436546567,58.06876575,0.002311905,0.030259909,32.7,57.72727273,1961.304048
36081004300,QN,4422.436068,3712.56503,607.8891227,5095.564454,2680.220763,485.9337096,9217.629996,12.88516949,3.746506824,58.23271404,0.001426697,0.022175443,95.85,74.63636364,899.5549471
36047002300,BK,3594.029453,2994.829135,768.2527984,4822.515991,1003.037204,350.58126,10579.93476,12.67643505,6.473564337,58.34279744,0.001487492,0.013405974,98.03,73.36363636,1873.501105
36061007900,MN,2105.708152,3889.386437,1184.175853,2216.159229,1603.187,126.3241963,12739.19735,14.15013928,4.147548393,58.35179439,0.000947145,0.01332537,22.68,32.63636364,1618.593517
36081050201,QN,7896.659843,1241.236987,1696.857459,4725.317581,5427.267532,2261.909692,6244.483838,8.939795918,5.204658512,58.41112531,0.003462847,0.038863024,31.68,45.81818182,1709.756204
36005003100,BX,5786.264025,4412.766993,1023.653091,1167.971411,688.2508852,1254.040614,5315.083523,14.43138686,4.4193851,58.47854931,0.002595059,0.034338549,83.34,42.54545455,433.7733641
36061006200,MN,132.0120515,8645.530587,1284.248918,2959.757358,3068.595649,946.4624513,9278.841584,12.24188034,3.071504378,58.51369347,0.000728017,0.013869091,73.9,26.18181818,390.7811907
36047048500,BK,3447.383568,4731.721692,1011.113991,1380.405479,968.585942,624.9502881,14347.06066,11.5128,4.597785787,58.79798018,0.001758908,0.022493489,34.73,14.36363636,2003.841708
36081070700,QN,5191.336883,2367.636611,1361.269663,6490.849029,3876.512145,723.0353881,2929.570485,7.935519126,6.327806462,58.85832618,0.002557723,0.023790754,30.39,48.36363636,1688.726572
36047051700,BK,8409.383658,7489.656805,944.3892214,4736.90055,1402.427471,0,16756.90708,15.637751,3.196019699,58.92595548,0.001263748,0.023300101,5.6,19.81818182,1922.221634
36081078800,QN,13412.44529,9457.729408,2491.273091,1541.289065,11356.96383,489.8500511,17923.19153,8.140625,4.520482785,58.95945838,0.002280768,0.029747456,45.41,61.45454545,1076.58613
36047044700,BK,1673.67508,3881.306204,1386.702241,3263.451263,87.25923886,941.7779957,11137.23201,12.21153846,5.683707124,58.9668676,0.002390121,0.024796832,88.61,23.18181818,1426.488635
36047000501,BK,2270.785771,2805.30909,211.7949921,5229.776497,749.7716489,723.4307048,10927.19533,8.086206897,6.573698657,59.23248474,0.001487599,0.013404047,32.07,27.81818182,393.5503938
36047030100,BK,5861.643379,2667.003744,1077.046697,704.2406374,1231.861885,277.7730064,6609.769988,11.27720588,5.477630459,59.23666082,0.001873335,0.020258776,82.18,50.90909091,1255.495659
36081129103,QN,12570.23175,4625.903433,1325.233728,11982.57659,11016.89541,788.6063936,788.6063936,7.272907489,3.83282177,59.24585239,0.000974529,0.015063781,33.84,59.18181818,1293.578479
36081059800,QN,15432.96085,3193.680358,1087.716418,6841.239601,13055.21617,71.94726746,11294.72303,8.341954023,3.905624272,59.30172364,0.002256282,0.03425865,30.64,54.45454545,1112.036706
36047072000,BK,7343.795095,7709.051107,962.2934921,6162.283058,7769.015786,957.5205902,15095.92796,10.44827586,4.413393662,59.37815861,0.00206137,0.027733843,57.97,50.90909091,500.6029234
36061005900,MN,2775.912519,2884.152838,193.0831582,748.7264923,643.5205604,381.5535105,13462.65394,11.50660377,3.427246146,59.43807246,0.000625981,0.010856269,19.92,32.18181818,237.4258627
36047019900,BK,3877.127041,1261.468226,170.0366827,453.7445693,409.2993719,656.8546389,4294.196429,11.9059322,6.443651984,59.47986447,0.001838942,0.016974847,36.06,24.63636364,1079.423881
