Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008
"36047117202","14000US36047117202","Census Tract 1172.02","Census Tract 1172.02, Kings County, New York","ny","140","00","ACSSF","0005227",,,,,"36","047",,,,"117202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3344,1328,1282,0,71,2,522,139
"36047117400","14000US36047117400","Census Tract 1174","Census Tract 1174, Kings County, New York","ny","140","00","ACSSF","0005228",,,,,"36","047",,,,"117400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4465,2279,1115,0,304,0,738,29
"36047117601","14000US36047117601","Census Tract 1176.01","Census Tract 1176.01, Kings County, New York","ny","140","00","ACSSF","0005229",,,,,"36","047",,,,"117601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3231,1140,1177,0,94,0,762,58
"36047117602","14000US36047117602","Census Tract 1176.02","Census Tract 1176.02, Kings County, New York","ny","140","00","ACSSF","0005230",,,,,"36","047",,,,"117602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,1277,709,0,43,0,861,110
"36047117800","14000US36047117800","Census Tract 1178","Census Tract 1178, Kings County, New York","ny","140","00","ACSSF","0005231",,,,,"36","047",,,,"117800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928,576,565,0,389,0,378,20
"36047118000","14000US36047118000","Census Tract 1180","Census Tract 1180, Kings County, New York","ny","140","00","ACSSF","0005232",,,,,"36","047",,,,"118000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
"36047118201","14000US36047118201","Census Tract 1182.01","Census Tract 1182.01, Kings County, New York","ny","140","00","ACSSF","0005233",,,,,"36","047",,,,"118201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2859,1437,704,48,102,0,510,58
"36047118202","14000US36047118202","Census Tract 1182.02","Census Tract 1182.02, Kings County, New York","ny","140","00","ACSSF","0005234",,,,,"36","047",,,,"118202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3152,1493,831,0,158,0,522,148
"36047118400","14000US36047118400","Census Tract 1184","Census Tract 1184, Kings County, New York","ny","140","00","ACSSF","0005235",,,,,"36","047",,,,"118400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5011,2119,1203,0,517,0,1164,8
"36047118600","14000US36047118600","Census Tract 1186","Census Tract 1186, Kings County, New York","ny","140","00","ACSSF","0005236",,,,,"36","047",,,,"118600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2727,1017,999,6,312,0,372,21
